Scientific Name,Common Name,Duration,Habit,Sun,Water,State Code
Monarda citriodora,"Lemon Beebalm, Purple Horsemint, Lemon Mint, Plains Horsemint, Lemon Horsemint, Horsemint, Purple Lemon Mint",Annual,Herb,"Sun, Part-shade",Dry,DE
Monarda didyma,"Scarlet Beebalm, Oswego Tea, Red Bergamot",Perennial,Herb,"Sun, Part-shade","Wet, Moist",DE
Monarda fistulosa,"Wild Bergamot, Beebalm",Perennial,Herb,"Sun, Part-shade","Moist, Dry",DE
Monarda punctata,"Spotted Beebalm, Spotted Horsemint, Horsemint",Perennial,Herb,Sun,Dry,DE
Morella cerifera,"Wax Myrtle , Southern Wax Myrtle, Southern Bayberry, Eastern Bayberry, Bayberry, Candleberry, Tallow Shrub",Perennial,Shrub,"Sun, Part-shade","Wet, Moist",DE
Nyssa sylvatica,"Tupelo, Blackgum, Black Tupelo, Sourgum, Pepperidge, Tupelo Gum, Beetlebung",Perennial,Tree,"Sun, Shade, Part-shade",Moist,DE
Oenothera fruticosa,"Narrowleaf Evening-primrose, Narrow-leaf Evening-primrose, Sundrops, Narrowleaf Evening Primrose",Perennial,Herb,Sun,Moist,DE
Oxydendrum arboreum,"Sourwood, Sorrel Tree",Perennial,Tree,Part-shade,,DE
Passiflora incarnata,"Maypop, Purple Passionflower, Purple Passion Vine, Apricot Vine",Perennial,Vine,"Sun, Part-shade","Moist, Dry",DE
Penstemon canescens,"Eastern Gray Penstemon, Eastern Gray Beardtongue",Perennial,Herb,Part-shade,Dry,DE
Penstemon digitalis,"Mississippi Penstemon, Mississippi Beardtongue, Smooth White Penstemon, Smooth White Beardtongue, Talus Slope Penstemon, Talus Slope Beardtongue, Foxglove Penstemon, Foxglove Beardtongue",Perennial,Herb,"Sun, Part-shade","Wet, Moist, Dry",DE
Penstemon laevigatus,"Eastern Smooth Penstemon, Eastern Smooth Beardtongue, Smooth Penstemon, Smooth Beardtongue, Eastern Penstemon, Eastern Beardtongue, Hairy Penstemon, Hairy Beardtongue",Perennial,Herb,Sun,Moist,DE
Phlox divaricata,"Wild Blue Phlox, Louisiana Phlox, Blue Woodland Phlox, Sweet William, Wild Sweet William",Perennial,Herb,"Shade, Part-shade",Moist,DE
Physocarpus opulifolius,"Common Ninebark, Atlantic Ninebark",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist, Dry",DE
Picea rubens,"Red Spruce, Yellow Spruce, West Virginia Spruce, Eastern Spruce, He-balsam",Perennial,Tree,"Sun, Shade","Moist, Dry",DE
Pinus echinata,"Shortleaf Pine, Shortleaf Yellow Pine, Southern Yellow Pine, Yellow Pine, Shortstraw Pine, Arkansas Pine, Longtag Pine, Spruce Pine, Oldfield Pine, Arkansas Soft Pine",Perennial,Tree,Part-shade,Dry,DE
Pinus pungens,"Table Mountain Pine, Hickory Pine, Prickly Pine",Perennial,Tree,Sun,Dry,DE
Pinus rigida,"Pitch Pine, Torch Pine",Perennial,Tree,Sun,Dry,DE
Pinus strobus,"Eastern White Pine, Weymouth Pine",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Pinus taeda,"Loblolly Pine, Oldfield Pine, Bull Pine, Rosemary Pine",Perennial,Tree,Part-shade,Dry,DE
Pinus virginiana,"Virginia Pine, Jersey Pine, Scrub Pine",Perennial,Tree,Sun,Moist,DE
Platanus occidentalis,"American Sycamore, Eastern Sycamore, American Plane Tree, Plane Tree, Buttonwood, Buttonball Tree",Perennial,Tree,"Sun, Shade, Part-shade",Moist,DE
Polemonium reptans,"Greek Valerian, Jacob's Ladder",Perennial,Herb,Shade,Moist,DE
Prunus americana,"American Plum, Wild Plum",Perennial,Tree,"Sun, Shade, Part-shade",Moist,DE
Prunus serotina,"Black Cherry, Wild Black Cherry, Rum Cherry",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Prunus virginiana,"Chokecherry, Common Chokecherry, Choke Cherry",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Ptelea trifoliata,"Wafer Ash, Common Hoptree, Hop Tree",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",DE
Quercus alba,"White Oak, Northern White Oak, Eastern White Oak, Stave Oak, Ridge White Oak, Forked-leaf White Oak",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Quercus coccinea,"Scarlet Oak, Red Oak",Perennial,Tree,Sun,Moist,DE
Quercus falcata,"Southern Red Oak, Bottomland Red Oak, Three-lobed Red Oak, Spanish Oak",Perennial,Tree,Part-shade,Dry,DE
Quercus imbricaria,"Shingle Oak, Laurel Oak",Perennial,Tree,Sun,Moist,DE
Quercus marilandica,"Blackjack Oak, Barren Oak, Black Oak, Jack Oak",Perennial,Tree,Part-shade,Dry,DE
Quercus muehlenbergii,"Chinkapin Oak, Chinquapin Oak, Chestnut Oak, Yellow Chestnut Oak, Rock Chestnut Oak, Yellow Oak, Rock Oak",Perennial,Tree,"Sun, Part-shade",Dry,DE
Quercus palustris,"Pin Oak, Swamp Spanish Oak",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist",DE
Quercus phellos,"Willow Oak, Swamp Willow Oak, Pin Oak, Peach Oak",Perennial,Tree,Part-shade,Moist,DE
Quercus rubra var. ambigua,Northern Red Oak,Perennial,Tree,,,DE
Quercus stellata,"Post Oak, Iron Oak, Cross Oak",Perennial,Tree,Part-shade,Dry,DE
Quercus virginiana,"Coastal Live Oak, Southern Live Oak, Virginia Live Oak, Live Oak, Encino",Perennial,Tree,"Sun, Part-shade",Moist,DE
Rhododendron calendulaceum,Flame Azalea,Perennial,Shrub,Part-shade,Moist,DE
Rhododendron catawbiense,"Catawba Rosebay, Purple Rhododendron, Red Laurel, Catawba Rhododendron, Mountain Rosebay",Perennial,Shrub,Shade,,DE
Rhododendron maximum,"Great Laurel, Wild Rhododendron, Rosebay Rhododendron, White Laurel, Rosebay",Perennial,Shrub,Part-shade,"Wet, Moist",DE
Rhododendron prinophyllum,"Early Azalea, Roseshell Azalea, Woolly Azalea",Perennial,Shrub,Shade,Moist,DE
Rhododendron viscosum,"Swamp Azalea, Clammy Azalea, Cory Azalea, Hammock Sweet Azalea",Perennial,Shrub,Part-shade,Wet,DE
Rhus aromatica,"Fragrant Sumac, Aromatic Sumac, Lemon Sumac, Polecat Bush",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",DE
Rhus copallinum,"Winged Sumac, Shining Sumac, Flameleaf Sumac, Mountain Sumac, Dwarf Sumac, Wing-rib Sumac, Black Sumac, Upland Sumac",Perennial,Shrub,Sun,Dry,DE
Rhus glabra,Smooth Sumac,Perennial,Shrub,"Sun, Shade, Part-shade",Dry,DE
Rhus typhina,"Staghorn Sumac, Velvet Sumac",Perennial,"Shrub, Tree","Sun, Shade, Part-shade",Dry,DE
Robinia hispida,"Bristly Locust, Standing Sweet Pea",Perennial,Shrub,Sun,,DE
Robinia pseudoacacia,Black Locust,Perennial,Tree,Sun,"Moist, Dry",DE
Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan","Annual, Biennial, Perennial",Herb,Sun,"Moist, Dry",DE
Sambucus nigra ssp. canadensis,"Common Elderberry, Black Elder, Mexican Elderberry, Common Elder, Elderberry, Tapiro, Sauco",Perennial,Shrub,Part-shade,Wet,DE
Sassafras albidum,"Sassafras, White Sassafras, Ague Tree, Cinnamon Wood, Mitten Tree, Saloop, Smelling Stick",Perennial,Tree,"Sun, Shade, Part-shade",Moist,DE
Sorbus americana,"American Mountain Ash, American Mountain-ash",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Staphylea trifolia,American Bladdernut,Perennial,Shrub,Shade,Moist,DE
Symphoricarpos orbiculatus,"Coralberry, Indian Currant, Buckbrush",Perennial,Shrub,"Shade, Part-shade","Moist, Dry",DE
Symphyotrichum novae-angliae,"New England Aster, New England American-aster",Perennial,Herb,Part-shade,Moist,DE
Taxodium distichum,"Bald Cypress, Baldcypress, Common Bald Cypress, Southern Bald Cypress, Deciduous Cypress, Southern Cypress, Swamp Cypress, Red Cypress, White Cypress, Yellow Cypress, Gulf Cypress, Tidewater Red Cypress",Perennial,Tree,"Sun, Part-shade",Moist,DE
Thuja occidentalis,"Arborvitae, Eastern Arborvitae, Northern White Cedar",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",DE
Tilia americana var. heterophylla,"American Basswood, White Basswood, Linden",Perennial,Tree,Part-shade,,DE
Tsuga canadensis,Eastern Hemlock,Perennial,Tree,"Shade, Part-shade",Moist,DE
Vaccinium stamineum,Deerberry,Perennial,Shrub,Part-shade,"Moist, Dry",DE
Viburnum dentatum,Southern Arrowwood,Perennial,Shrub,"Sun, Shade, Part-shade",Moist,DE
Viburnum lentago,"Nannyberry, Blackhaw, Sweet Viburnum, Sheepberry",Perennial,Shrub,"Sun, Shade, Part-shade",Moist,DE
Viburnum prunifolium,"Blackhaw, Smooth Blackhaw, Blackhaw Viburnum, Smooth Blackhaw Viburnum, Stagbush",Perennial,Shrub,Part-shade,Moist,DE
Viburnum rufidulum,"Rusty Blackhaw Viburnum, Rusty Blackhaw, Southern Blackhaw, Blackhaw, Bluehaw, Downy Viburnum, Southern Nannyberry, Rusty Nannyberry, Nannyberry",Perennial,Tree,Part-shade,Dry,DE
Wisteria frutescens,"American Wisteria, Texas Wisteria, Kentucky Wisteria",Perennial,Vine,"Sun, Shade, Part-shade",Moist,DE
Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Perennial,Tree,Sun,Moist,FL
Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple",Perennial,Tree,"Sun, Part-shade",Moist,FL
Acer saccharinum,"Silver Maple, Soft Maple, White Maple",Perennial,Tree,"Sun, Shade, Part-shade",Moist,FL
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Perennial,Herb,"Sun, Part-shade",Dry,FL
Acoelorraphe wrightii,Everglades Palm,Perennial,Tree,Sun,,FL
Adiantum capillus-veneris,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",Perennial,Fern,"Shade, Part-shade","Wet, Moist",FL
Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Perennial,"Shrub, Tree",Part-shade,Moist,FL
Agarista populifolia,"Florida Hobblebush, Tall Fetterbush, Florida Leucothoe, Agarista",Perennial,Shrub,Shade,,FL
Ageratina jucunda,Hammock Snakeroot,Perennial,Herb,"Sun, Part-shade",Moist,FL
Aletris farinosa,"White Colicroot, Colic Root, Unicorn Root",Perennial,Herb,Sun,"Moist, Dry",FL
Aletris lutea,"Yellow Colicroot, Yellow Colic-root",Perennial,Herb,,,FL
Allium canadense var. canadense,"Meadow Garlic, Wild Onion, Canada Onion",Perennial,Herb,Part-shade,Dry,FL
Allium canadense var. mobilense,"Meadow Garlic, Wild Onion",Perennial,Herb,Part-shade,Dry,FL
Alnus serrulata,"Smooth Alder, Hazel Alder, Brookside Alder, Tag Alder, Common Alder, Black Alder",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist",FL
Alternanthera maritima,Seaside Joyweed,Perennial,Herb,,,FL
Ambrosia hispida,"Coastal Ragweed, Beach Ragweed, Bay Geranium",Perennial,"Herb, Subshrub",,,FL
Amelanchier arborea,"Common Serviceberry, Downy Serviceberry, Shadbush, Juneberry, Junebush, Shadblow, Sarvis",Perennial,Tree,"Sun, Shade, Part-shade",Dry,FL
Amorpha fruticosa,"Indigo Bush, False Indigo Bush, False Indigo, Desert False Indigo",Perennial,Shrub,"Sun, Part-shade",Moist,FL
Amorpha herbacea,"Clusterspike False Indigo, Cluster-spike Indigobush",Perennial,Shrub,,,FL
Amsonia ciliata,"Fringed Bluestar, Bluestar, Texas Bluestar",Perennial,Herb,Part-shade,Dry,FL
Amsonia tabernaemontana,"Eastern Bluestar, Blue Dogbane, Willow Amsonia, Woodland Bluestar",Perennial,Herb,Part-shade,Wet,FL
Andropogon brachystachyus,Shortspike Bluestem,Perennial,Grass/Grass-like,Sun,Moist,FL
Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,FL
Andropogon glomeratus var. hirsutior,Bushy Bluestem,Perennial,Grass/Grass-like,,,FL
Andropogon ternarius,"Splitbeard Bluestem, Split Bluestem",Perennial,Grass/Grass-like,"Sun, Part-shade",Dry,FL
Andropogon virginicus var. decipiens,Broomsedge Bluestem,Perennial,Grass/Grass-like,,,FL
Anemone berlandieri,"Tenpetal Anemone, Tenpetal Thimbleweed, Windflower, Southern Anemone, Granny's Nightcap",Perennial,Herb,Part-shade,,FL
Annona glabra,Pond Apple,Perennial,Tree,,,FL
Apios americana,"Groundnut, Wild Potato, Indian Potato",Perennial,Vine,Shade,"Wet, Moist",FL
Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",Perennial,Herb,"Shade, Part-shade","Moist, Dry",FL
Aralia spinosa,"Devil's Walking Stick, Hercules Club, Angelica Tree, Pigeon Tree, Shotbush, Prickly Elder, Prickly Ash",Perennial,Tree,Part-shade,Moist,FL
Arisaema dracontium,"Green Dragon, Dragonroot, Greendragon",Perennial,Herb,"Sun, Shade",Moist,FL
Arisaema triphyllum,"Jack In The Pulpit, Indian Jack In The Pulpit, Jack-in-the-pulpit",Perennial,Herb,"Sun, Shade","Wet, Moist",FL
Aristida purpurascens var. tenuispica,"Arrowfeather Threeawn, Hillsboro Threeawn, Hillsborough Threeawn",Perennial,Grass/Grass-like,,,FL
Aristolochia tomentosa,"Woolly Dutchman's Pipe, Common Dutchman's Pipe",Perennial,Vine,Part-shade,Moist,FL
Arnoglossum ovatum,Ovateleaf Cacalia,Perennial,Herb,,,FL
Aronia arbutifolia,"Red Chokeberry, Red Chokecherry",Perennial,Shrub,Sun,Moist,FL
Asclepias humistrata,"Pinewoods Milkweed, Sandhill Milkweed",Perennial,Herb,Sun,Dry,FL
Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist",FL
Asclepias lanceolata,"Fewflower Milkweed, Few-flower Milkweed, Red Milkweed",Perennial,Herb,Sun,Wet,FL
Asclepias perennis,"White Swamp Milkweed, Aquatic Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist",FL
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Perennial,Herb,Sun,"Moist, Dry",FL
Asclepias verticillata,"Whorled Milkweed, Eastern Whorled Milkweed",Perennial,Herb,"Sun, Part-shade",Dry,FL
Asimina angustifolia,Slimleaf Pawpaw,Perennial,Shrub,,,FL
Asimina obovata,"Bigflower Pawpaw, Florida Dogwood , Scrub Pawpaw, Flag Pawpaw",Perennial,"Shrub, Tree",,,FL
Asimina parviflora,"Smallflower Pawpaw, Small-flower Pawpaw, Dwarf Pawpaw",Perennial,Shrub,Part-shade,,FL
Asimina reticulata,"Netted Pawpaw, Woolly Pawpaw, Hairy Pawpaw",Perennial,Shrub,,,FL
Asimina triloba,"Pawpaw, Common Pawpaw, Custard Apple, Indian Banana, Wild Banana",Perennial,Tree,"Sun, Shade, Part-shade",Moist,FL
Athyrium filix-femina,"Common Lady Fern, Subarctic Lady Fern, Lady Fern, Ladyfern",Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",FL
Avicennia germinans,Black Mangrove,Perennial,Shrub,Sun,Moist,FL
Baccharis halimifolia,"Groundseltree, Sea-myrtle, Consumptionweed, Eastern Baccharis, Groundsel, Groundsel Bush, Salt Marsh-elder, Salt Bush, Florida Groundsel Bush",Perennial,Shrub,Part-shade,Wet,FL
Bacopa monnieri,"Herb-of-grace, Water Hyssop, Coastal Water-hyssop",Perennial,Herb,"Sun, Part-shade","Wet, Moist",FL
Balduina angustifolia,"Coastal Plain Honeycombhead, Yellow Buttons",Annual,Herb,,,FL
Baptisia alba,"White Wild Indigo, White Baptisia",Perennial,Herb,Sun,"Moist, Dry",FL
Baptisia lanceolata,"Gopherweed, Pineland Baptisia",Perennial,Herb,Sun,,FL
Batis maritima,"Turtleweed, Seaside Saltwort",Perennial,Shrub,Sun,Moist,FL
Bejaria racemosa,"Tarflower, Flyweed, Flycatcher",Perennial,Shrub,,,FL
Berlandiera subacaulis,"Florida Greeneyes, Common Greeneyes",Perennial,Herb,Sun,Dry,FL
Betula nigra,"River Birch, Red Birch, Black Birch, Water Birch",Perennial,Tree,Part-shade,Moist,FL
Bidens laevis,"Smooth Beggartick, Smooth Bidens, Smooth Bur Marigold, Larger Bur Marigold",Annual,Herb,"Sun, Part-shade","Wet, Moist",FL
Bignonia capreolata,Crossvine,Perennial,Vine,"Sun, Part-shade","Moist, Dry",FL
Blutaparon vermiculare,Silverhead,Perennial,Herb,,,FL
Boehmeria cylindrica,"Smallspike False Nettle, Bog Hemp",Perennial,Herb,"Sun, Shade, Part-shade",Moist,FL
Boltonia asteroides,"Boltonia, White Doll's Daisy",Perennial,Herb,Sun,"Moist, Dry",FL
Borrichia frutescens,"Bushy Seaside Tansy, Ox-eye Daisy, Sea Daisy, Sea Ox-eye",Perennial,Shrub,Sun,Moist,FL
Bouteloua hirsuta,Hairy Grama,Perennial,Grass/Grass-like,Part-shade,Dry,FL
Bursera simaruba,"Gumbo Limbo, Gumbo-limbo",Perennial,Tree,Sun,,FL
Byrsonima lucida,"Long Key Locustberry, Locust Berry",Perennial,Tree,,,FL
Cakile edentula,American Searocket,Annual,Herb,,,FL
Cakile lanceolata,Coastal Searocket,Annual,Subshrub,,,FL
Callicarpa americana,"American Beautyberry , French Mulberry",Perennial,Shrub,Part-shade,Moist,FL
Callirhoe papaver,"Woodland Poppymallow, Woodland Poppy-mallow, Woodland Poppy Mallow",Perennial,Herb,,,FL
Calycanthus floridus,"Eastern Sweetshrub, Carolina Allspice, Sweet Shrub",Perennial,Shrub,Part-shade,Moist,FL
Campsis radicans,"Trumpet Creeper, Trumpet Vine, Common Trumpet Creeper, Cow Vine, Foxglove Vine, Hellvine, Devil's Shoestring",Perennial,Vine,Sun,"Moist, Dry",FL
Canna flaccida,"Bandanna Of The Everglades, Golden Canna",Perennial,Herb,Sun,Wet,FL
Capparis cynophallophora,"Jamaican Caper, Jamaica Caper Tree",Perennial,"Shrub, Tree",Part-shade,,FL
Capsicum annuum,"Chile Tepin, Chile Pequin, Chiltepin, Chile Petin, Bird Pepper, Turkey Pepper , Cayenne Pepper","Annual, Perennial",Herb,"Sun, Shade, Part-shade",Moist,FL
Carpinus caroliniana,"American Hornbeam, Blue Beech, Water Beech, Musclewood, Ironwood",Perennial,Tree,"Shade, Part-shade",Moist,FL
Carya aquatica,"Water Hickory, Bitter Water Hickory, Bitter Hickory, Swamp Hickory, Water Pignut Hickory, Water Pignut, Bitter Pecan",Perennial,Tree,Part-shade,Wet,FL
Carya glabra,"Pignut Hickory, Sweet Pignut Hickory, Coast Pignut Hickory, Pignut, Sweet Pignut, Smoothbark Hickory, Broom Hickory, Red Hickory, Swamp Hickory, Switch Hickory, Switchbud Hickory",Perennial,Tree,"Sun, Shade, Part-shade",Dry,FL
Carya tomentosa,"Mockernut Hickory, Mockernut Hickory, Big Bud Hickory, Mockernut, White Hickory, Whiteheart Hickory, Fragrant Hickory, Bigbud Hickory, Hardbark Hickory, Hognut, Bullnut",Perennial,Tree,Part-shade,Moist,FL
Castanea dentata,American Chestnut,Perennial,Tree,"Sun, Shade, Part-shade",Moist,FL
Castanea pumila,"Allegheny Chinquapin, Allegheny Chinkapin, Chinquapin, Chinkapin",Perennial,Shrub,Part-shade,Dry,FL
Catalpa bignonioides,"Southern Catalpa, Cigar Tree, Indian Bean",Perennial,Tree,Part-shade,Wet,FL
Ceanothus americanus,"New Jersey Tea, Redroot",Perennial,Shrub,"Sun, Part-shade","Moist, Dry",FL
Celtis laevigata,"Sugar Hackberry, Texas Sugarberry, Sugarberry, Southern Hackberry, Lowland Hackberry, Hackberry, Palo Blanco",Perennial,Tree,Part-shade,Dry,FL
Celtis occidentalis,"Common Hackberry, Northern Hackberry, American Hackberry, Nettle Tree, Beaverwood, False Elm",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",FL
Cephalanthus occidentalis,"Common Buttonbush, Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush",Perennial,Shrub,"Shade, Part-shade","Wet, Moist",FL
Ceratiola ericoides,"Sand-heath, Sandhill-rosemary, Florida-rosemary",Perennial,Shrub,,,FL
Cercis canadensis,"Eastern Redbud, Redbud",Perennial,Tree,"Shade, Part-shade",Moist,FL
Chamaecrista fasciculata,"Partridge Pea, Sleepingplant, Sensitive Plant",Annual,Herb,"Sun, Part-shade","Moist, Dry",FL
Chamaecrista nictitans ssp. nictitans,"Sensitive Partridge Pea, Partridge Pea",Annual,Subshrub,,,FL
Chamaecyparis thyoides,Atlantic White Cedar,Perennial,Tree,Part-shade,Wet,FL
Chasmanthium latifolium,"Inland Sea Oats, Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats",Perennial,Grass/Grass-like,"Shade, Part-shade",Moist,FL
Chiococca alba,"Snowberry, West Indian Milkberry, David's Milkberry, Cahinca, West Indian Snowberry, Milkberry",Perennial,Shrub,"Shade, Part-shade",Moist,FL
Chionanthus virginicus,"White Fringetree, Fringe Tree, Snowflower Tree, Flowering Ash, Old Man's Beard, Grandfather Graybeard, Grancy Graybeard",Perennial,Tree,Part-shade,Moist,FL
Chrysobalanus icaco,"Icaco Coco Plum, Icaco Coco-plum",Perennial,Shrub,Part-shade,,FL
Chrysophyllum oliviforme,Satinleaf,Perennial,Tree,Part-shade,,FL
Chrysopsis mariana,"Maryland Goldenaster, Maryland Golden-aster",Perennial,Herb,Sun,Wet,FL
Cirsium horridulum,"Bristle Thistle, Yellow Thistle, Horrid Thistle, Purple Thistle, Spiny Thistle, Bull Thistle",Annual,Herb,,,FL
Clematis baldwinii,Pine Hyacinth,Perennial,"Herb, Subshrub",,,FL
Clematis crispa,"Swamp Leatherflower, Curly Clematis, Blue-jasmine, Curlflower, Curly Virgin's Bower, Marsh Clematis",Perennial,Vine,"Sun, Part-shade","Wet, Moist",FL
Clematis virginiana,"Devil's Darning Needles, Virgin's Bower, Old Man's Beard",Perennial,Vine,"Sun, Shade, Part-shade","Moist, Dry",FL
Clethra alnifolia,"Coastal Pepperbush, Coastal Sweet Pepperbush, Coastal Sweet Pepper, Alderleaf Pepperbush, Alderleaf Clethra, Clethra, Summer Sweet",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist",FL
Cliftonia monophylla,"Buckwheat Tree, Buckwheat Bush",Perennial,Shrub,Sun,Wet,FL
Clusia rosea,Scotch Attorney,Perennial,"Shrub, Tree","Sun, Part-shade",,FL
Coccoloba diversifolia,"Tie-tongue, Pigeon Plum",Perennial,Tree,,,FL
Coccoloba uvifera,"Seagrape, Seaside-grape, Sea Grape",Perennial,Shrub,Sun,,FL
Coccothrinax argentata,Florida Silver Palm,Perennial,Tree,,,FL
Cocculus carolinus,"Carolina Snailseed, Carolina Coralbead, Carolina Moonseed, Red Berried Moonseed, Carolina Red Berried Moonseed",Perennial,Vine,Part-shade,Moist,FL
Conocarpus erectus,"Button Mangrove, Buttonwood",Perennial,Shrub,Sun,Wet,FL
Conoclinium coelestinum,"Blue Mistflower, Wild Ageratum, Blue Boneset",Perennial,Herb,"Sun, Part-shade",Moist,FL
Conradina canescens,"False Rosemary, Wild Rosemary, Conradina",Perennial,Shrub,Sun,,FL
Coreopsis gladiata,"Coastal Plain Tickseed, Coastal Tickseed",Perennial,Herb,Sun,Wet,FL
Coreopsis grandiflora,"Largeflower Tickseed, Large-flower Tickseed, Common Coreopsis",Perennial,Herb,Part-shade,,FL
Coreopsis lanceolata,"Lanceleaf Coreopsis, Lance-leaved Coreopsis, Lanceleaf Tickseed, Sand Coreopsis",Perennial,Herb,"Sun, Shade, Part-shade",Dry,FL
Coreopsis leavenworthii,"Leavenworth's Tickseed, Common Tickseed",Perennial,Herb,,,FL
Coreopsis nudata,"Georgia Tickseed, Swamp Coreopsis",Perennial,Herb,Part-shade,"Wet, Moist",FL
Cornus alternifolia,"Alternateleaf Dogwood, Alternate-leaf Dogwood, Pagoda Dogwood",Perennial,Shrub,"Shade, Part-shade",Moist,FL
Cornus amomum,"Silky Dogwood, Red Willow, Silky Cornel",Perennial,Shrub,"Shade, Part-shade","Wet, Moist",FL
Cornus florida,"Flowering Dogwood, Virginia Dogwood, Florida Dogwood, White Cornel, Arrowwood, American Boxwood, False Box, St. Peter's Crown, Corona De San Pedro",Perennial,Tree,"Shade, Part-shade","Moist, Dry",FL
Cornus foemina,"Stiff Dogwood, Swamp Dogwood",Perennial,Shrub,Part-shade,Wet,FL
Crataegus aestivalis,"Mayhaw, May Hawthorn",Perennial,Shrub,Part-shade,Wet,FL
Crataegus crus-galli,"Cockspur Hawthorn, Cockspur Thorn, Newcastle Hawthorn, Newcastle Thorn, Hog Apple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",FL
Crataegus flava,"Yellowleaf Hawthorn, Yellow-leaf Hawthorn, Summer Hawthorn",Perennial,"Shrub, Tree",Part-shade,Dry,FL
Crataegus phaenopyrum,"Washington Hawthorn, Washington-thorn",Perennial,Shrub,Sun,Moist,FL
Crataegus spathulata,"Littlehip Hawthorn, Pasture Hawthorn, Smallfruit Hawthorn",Perennial,"Shrub, Tree",,,FL
Crataegus viridis,"Green Hawthorn, Southern Hawthorn",Perennial,"Shrub, Tree",Part-shade,Wet,FL
Crinum americanum,"American Crinum Lily, Seven Sisters, Swamp Lily, Southern Swamp Lily, String Lily, Crinum Lily",Perennial,Shrub,Part-shade,Wet,FL
Cyperus odoratus,"Fragrant Flatsedge, Fragrant Sedge",Annual,Grass/Grass-like,Sun,,FL
Cyrilla racemiflora,"Titi, Swamp Titi, Black Titi, White Titi, Red Titi, Leatherwood, Swamp Cyrilla, American Cyrilla, Burnwood Bark, Palo Colorado",Perennial,Tree,Part-shade,Wet,FL
Decumaria barbara,"Decumaria, Climbing Hydrangea, Woodvamp",Perennial,Vine,Part-shade,Moist,FL
Dichanthelium commutatum,Variable Panicgrass,Perennial,Grass/Grass-like,Part-shade,Moist,FL
Dicliptera sexangularis,Sixangle Foldwing,Perennial,Herb,,,FL
Diospyros virginiana,"Common Persimmon, Eastern Persimmon, Possumwood, Date Plum, Winter Plum, Jove's Fruit",Perennial,Tree,Part-shade,Dry,FL
Dirca palustris,"Eastern Leatherwood, Western Leatherwood, Ropebark, Wicopy",Perennial,Shrub,"Shade, Part-shade","Moist, Dry",FL
Distichlis spicata,"Saltgrass, Coastal Salt Grass, Inland Salt-grass",Perennial,Grass/Grass-like,Sun,Wet,FL
Dodonaea viscosa,"Florida Hopbush, Hopseed Bush, Switch Sorrel, Varnish Leaf, Hopbush, Chapoliztle, Casol",Perennial,Shrub,Sun,Dry,FL
Dryopteris ludoviciana,"Southern Woodfern, Florida Shieldfern",Perennial,Fern,"Shade, Part-shade","Wet, Moist",FL
Dyschoriste oblongifolia,"Oblongleaf Snakeherb, Twin Flower",Perennial,Herb,,,FL
Echinacea purpurea,"Eastern Purple Coneflower, Purple Coneflower",Perennial,Herb,"Sun, Part-shade",Dry,FL
Eleocharis cellulosa,Gulf Coast Spikerush,Perennial,Grass/Grass-like,,,FL
Eleocharis interstincta,Knotted Spikerush,Perennial,Grass/Grass-like,,,FL
